"name","url","id"
"

Hundewiese für Regensburg und Umgebung","https://www.openpetition.de/petition/online/hundewiese-fuer-regensburg-und-umgebung",132
"

Keine Abschiebung für den Lebensretter Hassan Yahya (Freiburg-Weingarten)","https://www.openpetition.de/petition/online/keine-abschiebung-fuer-den-lebensretter-hassan-yahya-freiburg-weingarten",133
"

BCD Travel – ein NEIN zu Standortschließungen in Hannover und Celle!","https://www.openpetition.de/petition/online/bcd-travel-ein-nein-zu-standortschliessungen-in-hannover-und-celle",134
"

Erhalt der Integrations-KiTA ""Am Königswald"", Dörnichtweg 34, 01109 Dresden-keine Schließung 2018!","https://www.openpetition.de/petition/online/erhalt-der-intergrations-kita-am-koenigswald-doernichtweg-34-01109-dresden-keine-schliessung-2018",135
"

Petition zur Verbesserung der Situation von Lehrbeauftragten der Eberhard Karls Universität Tübingen","https://www.openpetition.de/petition/online/petition-zur-verbesserung-der-situation-von-lehrbeauftragten-der-eberhard-karls-universitat-tubingen",136
"

Hilfe für den Marktkauf in Ahlen!","https://www.openpetition.de/petition/online/hilfe-fuer-den-marktkauf-in-ahlen",137
"

Wiederzulassung der theoretischen Fahrerlaubnis-Prüfung in arabischer Sprache","https://www.openpetition.de/petition/online/wiederzulassung-der-theoretischen-fahrerlaubnis-pruefung-in-arabischer-sprache",138
"

Bitte sorgen Sie dafür, dass unser Kinderhaus endlich saniert/neu gebaut wird!","https://www.openpetition.de/petition/online/herr-gastberger-einsturzgefahr-sorgen-sie-dafuer-dass-unser-kinderhaus-saniert-neu-gebaut-wird",139
"

Bettina Halbey soll in ihrer Wohnung bleiben dürfen - Für eine sofortige Rücknahme der Kündigung!","https://www.openpetition.de/petition/online/bettina-halbey-soll-in-ihrer-wohnung-bleiben-duerfen-fuer-eine-sofortige-ruecknahme-der-kuendigung",140
"

Betreuungsgeld und Erziehungsfreiheit erhalten!","https://www.openpetition.de/petition/online/betreuungsgeld-und-erziehungsfreiheit-erhalten",141
"

Gegen die Veränderung des gültigen Bebauungsplans für Windenergieanlagen in Meckenheim und Rheinbach","https://www.openpetition.de/petition/online/gegen-die-veranderung-des-gultigen-bebauungsplans-fur-windenergieanlagen-in-meckenheim-und-rheinbach",142
"

Hundeplatz für Erftstadt","https://www.openpetition.de/petition/online/hundeplatz-fuer-erftstadt",143
"

Fahrradwege für die Gemeinde Grasbrunn","https://www.openpetition.de/petition/online/fahrradwege-fuer-die-gemeinde-grasbrunn",144
"

Damit KiTa - Plätze in Rheine bezahlbar bleiben!","https://www.openpetition.de/petition/online/damit-kita-plaetze-in-rheine-bezahlbar-bleiben",145
"

#AUSLAGENERSATZ streichen!","https://www.openpetition.de/petition/online/auslagenersatz-streichen",146
"

Für gute Arbeits- und Beschäftigungsbedingungen in der Erziehungswissenschaft!","https://www.openpetition.de/petition/online/fuer-gute-arbeits-und-beschaeftigungsbedingungen-in-der-erziehungswissenschaft",147
"

Öffnet den Flughafen Tempelhof für das Deutsch-Amerikanische Volksfest!","https://www.openpetition.de/petition/online/oeffnet-den-flughafen-tempelhof-fuer-das-deutsch-amerikanische-volksfest",148
"

Erhalt des Karmelitenklosters in Straubing","https://www.openpetition.de/petition/online/erhalt-des-karmelitenklosters-in-straubing",149
